Policy Scope,Policy Duration,Enforcement Intensity,Best Advocacy Method
National,Temporary,Not Enforced,Meme Campaign
State,Trial,Not Enforced,GoFundMe Awareness
Global,Long-Term,Surveillance-Based,Public Comment
Region,Medium-Term,Punitive,Join Advocacy Group
Cross-Border,Medium-Term,Moderate Enforcement,Op-ed
Global,Medium-Term,Punitive,Petition
Cross-Border,Permanent,Surveillance-Based,Petition
National,Temporary,Minimal,Social Media Campaign
Province,Temporary,Community-Enforced,Influencer Collaboration
International,Temporary,Community-Enforced,Newsletter
State,Medium-Term,Minimal,Social Media Campaign
International,Temporary,Symbolic Only,Social Media Campaign
State,Permanent,Minimal,Podcast
State,Medium-Term,Punitive,Public Comment
Neighborhood,Short-Term,Not Enforced,Protest
Neighborhood,Permanent,Punitive,Protest
Neighborhood,Long-Term,Minimal,Op-ed
Neighborhood,Long-Term,Light Enforcement,Town Hall
Global,Permanent,Not Enforced,Academic Paper
Region,Long-Term,Community-Enforced,Academic Paper
County,Temporary,Symbolic Only,Podcast
International,Trial,Light Enforcement,Meme Campaign
Region,Trial,Community-Enforced,Lawsuit
Province,Trial,Minimal,Podcast
Continental,Temporary,Strict Enforcement,Documentary
National,Temporary,Surveillance-Based,Join Advocacy Group
County,Medium-Term,Strict Enforcement,GoFundMe Awareness
County,Temporary,Minimal,Social Media Campaign
Continental,Long-Term,Community-Enforced,Meme Campaign
Neighborhood,Medium-Term,Symbolic Only,Podcast
Continental,Permanent,Minimal,Podcast
Neighborhood,Trial,Symbolic Only,Town Hall
Cross-Border,Trial,Strict Enforcement,Public Art
Cross-Border,Trial,Surveillance-Based,GoFundMe Awareness
International,Medium-Term,Not Enforced,Newsletter
City,Trial,Symbolic Only,Petition
International,Temporary,Light Enforcement,Public Poll
City,Temporary,Symbolic Only,Petition
National,Temporary,Surveillance-Based,Op-ed
County,Temporary,Symbolic Only,Social Media Campaign
Global,Trial,Community-Enforced,Podcast
Region,Medium-Term,Moderate Enforcement,GoFundMe Awareness
Cross-Border,Long-Term,Symbolic Only,Meme Campaign
Continental,Long-Term,Not Enforced,Lawsuit
Region,Medium-Term,Surveillance-Based,Meme Campaign
National,Trial,Light Enforcement,Town Hall
National,Permanent,Strict Enforcement,Influencer Collaboration
State,Medium-Term,Not Enforced,Podcast
Cross-Border,Permanent,Moderate Enforcement,Petition
City,Trial,Light Enforcement,Petition
Province,Temporary,Strict Enforcement,Public Art
Province,Temporary,Surveillance-Based,Documentary
Global,Medium-Term,Moderate Enforcement,Public Art
National,Medium-Term,Symbolic Only,Op-ed
International,Temporary,Moderate Enforcement,Town Hall
State,Long-Term,Symbolic Only,Podcast
State,Short-Term,Punitive,Academic Paper
International,Trial,Light Enforcement,GoFundMe Awareness
Region,Permanent,Punitive,Lawsuit
Global,Short-Term,Strict Enforcement,Join Advocacy Group
National,Short-Term,Minimal,Op-ed
Global,Permanent,Strict Enforcement,Op-ed
County,Trial,Community-Enforced,Join Advocacy Group
Region,Trial,Moderate Enforcement,Town Hall
Province,Short-Term,Moderate Enforcement,Academic Paper
Cross-Border,Short-Term,Punitive,Documentary
State,Temporary,Moderate Enforcement,Op-ed
Region,Trial,Community-Enforced,Influencer Collaboration
Continental,Temporary,Symbolic Only,Podcast
Cross-Border,Short-Term,Punitive,GoFundMe Awareness
Cross-Border,Temporary,Light Enforcement,GoFundMe Awareness
Global,Medium-Term,Moderate Enforcement,Podcast
Province,Long-Term,Symbolic Only,Podcast
Cross-Border,Trial,Punitive,Influencer Collaboration
County,Trial,Light Enforcement,Town Hall
International,Trial,Not Enforced,GoFundMe Awareness
National,Trial,Minimal,Meme Campaign
National,Trial,Light Enforcement,GoFundMe Awareness
Cross-Border,Temporary,Symbolic Only,Podcast
City,Short-Term,Minimal,Social Media Campaign
Region,Permanent,Symbolic Only,Meme Campaign
County,Long-Term,Minimal,Meme Campaign
Global,Temporary,Symbolic Only,Social Media Campaign
International,Permanent,Light Enforcement,Influencer Collaboration
Region,Long-Term,Surveillance-Based,Petition
National,Permanent,Strict Enforcement,Influencer Collaboration
National,Trial,Minimal,Social Media Campaign
National,Medium-Term,Community-Enforced,Public Comment
Neighborhood,Medium-Term,Strict Enforcement,Documentary
National,Long-Term,Light Enforcement,Public Art
Region,Short-Term,Surveillance-Based,Op-ed
Neighborhood,Permanent,Surveillance-Based,Join Advocacy Group
International,Medium-Term,Not Enforced,Direct Email to Representative
Neighborhood,Permanent,Symbolic Only,Social Media Campaign
Global,Short-Term,Community-Enforced,Town Hall
National,Trial,Symbolic Only,Podcast
County,Permanent,Strict Enforcement,Public Art
Cross-Border,Short-Term,Community-Enforced,Academic Paper
Neighborhood,Trial,Surveillance-Based,Public Comment
National,Trial,Not Enforced,Social Media Campaign
National,Temporary,Community-Enforced,Citizen Report
International,Permanent,Symbolic Only,Podcast
Cross-Border,Short-Term,Symbolic Only,Podcast
Continental,Trial,Punitive,Meme Campaign
International,Trial,Light Enforcement,Protest
State,Trial,Moderate Enforcement,Documentary
State,Temporary,Symbolic Only,Podcast
Region,Permanent,Light Enforcement,Viral Video
National,Temporary,Punitive,Documentary
State,Permanent,Not Enforced,Viral Video
State,Short-Term,Surveillance-Based,Join Advocacy Group
Cross-Border,Short-Term,Symbolic Only,Social Media Campaign
National,Medium-Term,Strict Enforcement,Documentary
Global,Temporary,Community-Enforced,Public Comment
County,Trial,Strict Enforcement,Influencer Collaboration
Global,Permanent,Symbolic Only,Social Media Campaign
National,Permanent,Punitive,Lobby Group
Global,Permanent,Light Enforcement,Documentary
National,Long-Term,Community-Enforced,Direct Email to Representative
State,Long-Term,Community-Enforced,Direct Email to Representative
Region,Long-Term,Strict Enforcement,Citizen Report
County,Trial,Light Enforcement,Podcast
Cross-Border,Medium-Term,Surveillance-Based,Public Comment
Continental,Long-Term,Strict Enforcement,Lawsuit
International,Medium-Term,Community-Enforced,Town Hall
International,Trial,Moderate Enforcement,Public Comment
National,Permanent,Not Enforced,Newsletter
Global,Short-Term,Minimal,Podcast
Cross-Border,Trial,Symbolic Only,Social Media Campaign
Region,Temporary,Moderate Enforcement,Viral Video
Province,Permanent,Moderate Enforcement,Op-ed
Province,Permanent,Surveillance-Based,Protest
Province,Permanent,Minimal,Social Media Campaign
Cross-Border,Medium-Term,Surveillance-Based,Town Hall
Global,Medium-Term,Punitive,Public Art
City,Long-Term,Minimal,Social Media Campaign
Neighborhood,Temporary,Moderate Enforcement,Public Comment
National,Short-Term,Moderate Enforcement,Lawsuit
City,Short-Term,Not Enforced,Academic Paper
Cross-Border,Short-Term,Community-Enforced,Op-ed
International,Temporary,Punitive,Media Outreach
Province,Trial,Community-Enforced,Public Poll
National,Long-Term,Symbolic Only,Op-ed
Cross-Border,Temporary,Community-Enforced,GoFundMe Awareness
Province,Temporary,Community-Enforced,Academic Paper
City,Temporary,Community-Enforced,Public Comment
Global,Short-Term,Strict Enforcement,Op-ed
Global,Temporary,Community-Enforced,Media Outreach
Global,Short-Term,Not Enforced,Viral Video
International,Trial,Light Enforcement,Direct Email to Representative
State,Trial,Moderate Enforcement,Podcast
County,Medium-Term,Minimal,Op-ed
Continental,Permanent,Surveillance-Based,Public Art
Global,Temporary,Symbolic Only,Op-ed
Region,Long-Term,Symbolic Only,Podcast
State,Long-Term,Moderate Enforcement,Op-ed
Region,Trial,Minimal,Op-ed
National,Temporary,Symbolic Only,Podcast
Continental,Medium-Term,Symbolic Only,Op-ed
Region,Medium-Term,Community-Enforced,Join Advocacy Group
State,Permanent,Symbolic Only,Social Media Campaign
Cross-Border,Medium-Term,Surveillance-Based,Public Poll
County,Permanent,Community-Enforced,Newsletter
State,Temporary,Strict Enforcement,Protest
County,Long-Term,Surveillance-Based,Citizen Report
Province,Trial,Symbolic Only,Meme Campaign
County,Temporary,Minimal,Meme Campaign
Province,Permanent,Symbolic Only,Meme Campaign
Cross-Border,Long-Term,Surveillance-Based,Public Poll
National,Medium-Term,Symbolic Only,Op-ed
Region,Permanent,Community-Enforced,Citizen Report
Province,Trial,Symbolic Only,Meme Campaign
Province,Temporary,Surveillance-Based,GoFundMe Awareness
National,Short-Term,Symbolic Only,Social Media Campaign
State,Long-Term,Minimal,Podcast
Continental,Medium-Term,Strict Enforcement,Podcast
County,Permanent,Surveillance-Based,Petition
Region,Temporary,Minimal,Podcast
City,Medium-Term,Surveillance-Based,GoFundMe Awareness
National,Long-Term,Symbolic Only,Podcast
City,Medium-Term,Punitive,Newsletter
Region,Short-Term,Symbolic Only,Podcast
State,Temporary,Light Enforcement,Citizen Report
County,Medium-Term,Symbolic Only,Meme Campaign
National,Short-Term,Community-Enforced,Podcast
International,Medium-Term,Minimal,Social Media Campaign
Province,Long-Term,Punitive,Join Advocacy Group
National,Short-Term,Light Enforcement,Academic Paper
Cross-Border,Trial,Not Enforced,Meme Campaign
County,Short-Term,Surveillance-Based,Media Outreach
Continental,Trial,Light Enforcement,Op-ed
City,Medium-Term,Not Enforced,Op-ed
State,Permanent,Minimal,Social Media Campaign
Province,Temporary,Not Enforced,Protest
Province,Long-Term,Punitive,Lawsuit
Cross-Border,Permanent,Punitive,Academic Paper
International,Permanent,Light Enforcement,Academic Paper
Region,Long-Term,Punitive,Direct Email to Representative
County,Temporary,Punitive,Public Art
State,Long-Term,Strict Enforcement,GoFundMe Awareness
Cross-Border,Medium-Term,Punitive,Social Media Campaign
Neighborhood,Temporary,Symbolic Only,Petition
Region,Trial,Community-Enforced,Newsletter
City,Short-Term,Symbolic Only,Op-ed
International,Temporary,Light Enforcement,Join Advocacy Group
County,Medium-Term,Strict Enforcement,Public Comment
International,Trial,Punitive,Documentary
Neighborhood,Temporary,Strict Enforcement,Town Hall
Continental,Temporary,Punitive,Media Outreach
Neighborhood,Short-Term,Minimal,Podcast
Province,Long-Term,Punitive,Town Hall
Province,Permanent,Strict Enforcement,Citizen Report
Global,Permanent,Symbolic Only,Meme Campaign
City,Medium-Term,Moderate Enforcement,Protest
Cross-Border,Trial,Minimal,Social Media Campaign
Region,Short-Term,Not Enforced,Citizen Report
National,Trial,Not Enforced,Op-ed
City,Medium-Term,Symbolic Only,Podcast
Cross-Border,Permanent,Minimal,Meme Campaign
Province,Long-Term,Surveillance-Based,Podcast
National,Permanent,Symbolic Only,Meme Campaign
National,Long-Term,Moderate Enforcement,Podcast
Region,Short-Term,Surveillance-Based,Documentary
Neighborhood,Trial,Strict Enforcement,Public Comment
National,Short-Term,Community-Enforced,Public Comment
State,Trial,Strict Enforcement,Citizen Report
National,Temporary,Surveillance-Based,Podcast
City,Permanent,Not Enforced,Join Advocacy Group
City,Trial,Moderate Enforcement,Public Comment
Province,Temporary,Community-Enforced,Academic Paper
National,Medium-Term,Symbolic Only,Op-ed
Continental,Temporary,Community-Enforced,Petition
National,Trial,Not Enforced,Newsletter
Neighborhood,Medium-Term,Strict Enforcement,Academic Paper
Province,Trial,Moderate Enforcement,Academic Paper
Neighborhood,Medium-Term,Not Enforced,Meme Campaign
Global,Temporary,Community-Enforced,Join Advocacy Group
Region,Short-Term,Light Enforcement,Media Outreach
International,Medium-Term,Community-Enforced,Citizen Report
International,Trial,Strict Enforcement,Documentary
Neighborhood,Permanent,Strict Enforcement,GoFundMe Awareness
Global,Permanent,Surveillance-Based,Public Art
Neighborhood,Trial,Punitive,Petition
Global,Short-Term,Moderate Enforcement,Public Comment
County,Medium-Term,Surveillance-Based,Podcast
Province,Permanent,Minimal,Social Media Campaign
Global,Permanent,Strict Enforcement,Podcast
State,Long-Term,Punitive,Newsletter
Global,Long-Term,Community-Enforced,Lawsuit
Cross-Border,Temporary,Symbolic Only,Op-ed
Global,Long-Term,Minimal,Social Media Campaign
National,Temporary,Moderate Enforcement,Newsletter
National,Short-Term,Minimal,Op-ed
Region,Trial,Not Enforced,Public Art
City,Medium-Term,Punitive,Influencer Collaboration
International,Temporary,Light Enforcement,Town Hall
Global,Long-Term,Not Enforced,Media Outreach
Global,Medium-Term,Moderate Enforcement,Meme Campaign
Province,Trial,Minimal,Podcast
Neighborhood,Long-Term,Not Enforced,Documentary
County,Permanent,Symbolic Only,Podcast
Global,Medium-Term,Light Enforcement,Media Outreach
Global,Medium-Term,Strict Enforcement,Petition
National,Short-Term,Strict Enforcement,Media Outreach
County,Permanent,Minimal,Meme Campaign
Continental,Long-Term,Symbolic Only,Social Media Campaign
County,Short-Term,Surveillance-Based,Public Art
City,Permanent,Light Enforcement,Petition
Global,Permanent,Community-Enforced,Join Advocacy Group
Global,Long-Term,Minimal,Op-ed
Cross-Border,Short-Term,Minimal,Podcast
County,Trial,Community-Enforced,Op-ed
Neighborhood,Permanent,Light Enforcement,Media Outreach
Global,Medium-Term,Strict Enforcement,Op-ed
State,Medium-Term,Punitive,Viral Video
International,Medium-Term,Light Enforcement,Town Hall
State,Long-Term,Surveillance-Based,Media Outreach
National,Temporary,Symbolic Only,Op-ed
Continental,Temporary,Community-Enforced,Social Media Campaign
Cross-Border,Trial,Symbolic Only,Social Media Campaign
Neighborhood,Temporary,Strict Enforcement,Public Comment
National,Trial,Community-Enforced,Social Media Campaign
Continental,Long-Term,Not Enforced,Protest
City,Long-Term,Surveillance-Based,Op-ed
County,Permanent,Light Enforcement,Lawsuit
Neighborhood,Medium-Term,Community-Enforced,Lawsuit
National,Temporary,Moderate Enforcement,Lawsuit
County,Trial,Punitive,Join Advocacy Group
County,Short-Term,Symbolic Only,Meme Campaign
Global,Trial,Light Enforcement,Lawsuit
Region,Permanent,Moderate Enforcement,Join Advocacy Group
City,Trial,Punitive,Town Hall
City,Temporary,Community-Enforced,Petition
City,Long-Term,Punitive,Meme Campaign
Neighborhood,Short-Term,Moderate Enforcement,Influencer Collaboration
County,Long-Term,Strict Enforcement,Podcast
Cross-Border,Permanent,Surveillance-Based,Protest
Continental,Permanent,Punitive,Citizen Report
County,Permanent,Light Enforcement,Lawsuit
Cross-Border,Trial,Light Enforcement,Protest
Continental,Permanent,Moderate Enforcement,Viral Video
Province,Trial,Not Enforced,Influencer Collaboration
Global,Trial,Moderate Enforcement,Lawsuit
Continental,Long-Term,Moderate Enforcement,Social Media Campaign
Neighborhood,Permanent,Symbolic Only,Op-ed
Neighborhood,Medium-Term,Surveillance-Based,Direct Email to Representative
National,Permanent,Minimal,Social Media Campaign
International,Medium-Term,Not Enforced,Meme Campaign
Region,Trial,Minimal,Social Media Campaign
State,Medium-Term,Community-Enforced,Public Comment
Global,Long-Term,Strict Enforcement,Newsletter
Global,Permanent,Not Enforced,Media Outreach
Province,Long-Term,Moderate Enforcement,Protest
Continental,Medium-Term,Not Enforced,Op-ed
State,Medium-Term,Not Enforced,Protest
City,Permanent,Symbolic Only,Meme Campaign
County,Temporary,Light Enforcement,Petition
City,Permanent,Minimal,Op-ed
Global,Permanent,Not Enforced,Petition
City,Temporary,Moderate Enforcement,Petition
International,Medium-Term,Punitive,Influencer Collaboration
National,Long-Term,Symbolic Only,Meme Campaign
Continental,Trial,Symbolic Only,Op-ed
Province,Trial,Community-Enforced,Public Poll
Neighborhood,Short-Term,Surveillance-Based,Citizen Report
County,Trial,Strict Enforcement,Documentary
International,Long-Term,Punitive,Lobby Group
National,Long-Term,Minimal,Podcast
Cross-Border,Long-Term,Surveillance-Based,Newsletter
City,Long-Term,Symbolic Only,Social Media Campaign
Cross-Border,Temporary,Light Enforcement,Petition
County,Temporary,Symbolic Only,Podcast
Province,Trial,Community-Enforced,Public Comment
Neighborhood,Medium-Term,Symbolic Only,Op-ed
Continental,Trial,Punitive,GoFundMe Awareness
City,Permanent,Community-Enforced,Petition
Continental,Long-Term,Punitive,Academic Paper
International,Medium-Term,Strict Enforcement,Lobby Group
City,Temporary,Not Enforced,Petition
Continental,Trial,Punitive,Podcast
State,Long-Term,Minimal,Podcast
Province,Permanent,Light Enforcement,Public Comment
Cross-Border,Medium-Term,Punitive,Lawsuit
Continental,Long-Term,Strict Enforcement,Town Hall
County,Short-Term,Strict Enforcement,Documentary
State,Temporary,Surveillance-Based,Public Art
Region,Short-Term,Strict Enforcement,Op-ed
International,Long-Term,Light Enforcement,Lawsuit
City,Temporary,Moderate Enforcement,Public Comment
Continental,Short-Term,Strict Enforcement,Citizen Report
International,Short-Term,Moderate Enforcement,Viral Video
Continental,Permanent,Surveillance-Based,Viral Video
Neighborhood,Short-Term,Minimal,Social Media Campaign
Cross-Border,Short-Term,Community-Enforced,Join Advocacy Group
International,Medium-Term,Light Enforcement,Op-ed
International,Short-Term,Punitive,Lobby Group
International,Long-Term,Surveillance-Based,Influencer Collaboration
County,Trial,Community-Enforced,Meme Campaign
Cross-Border,Long-Term,Community-Enforced,Meme Campaign
Cross-Border,Permanent,Community-Enforced,Town Hall
Continental,Long-Term,Community-Enforced,Social Media Campaign
Region,Long-Term,Symbolic Only,Social Media Campaign
City,Long-Term,Symbolic Only,Meme Campaign
Continental,Trial,Strict Enforcement,Join Advocacy Group
State,Permanent,Symbolic Only,Podcast
Neighborhood,Long-Term,Symbolic Only,Meme Campaign
Neighborhood,Trial,Light Enforcement,Petition
International,Trial,Community-Enforced,Podcast
County,Temporary,Community-Enforced,Public Comment
International,Medium-Term,Punitive,Influencer Collaboration
Cross-Border,Medium-Term,Minimal,Social Media Campaign
Cross-Border,Short-Term,Punitive,Newsletter
County,Medium-Term,Symbolic Only,Podcast
Region,Permanent,Minimal,Meme Campaign
County,Short-Term,Minimal,Meme Campaign
City,Permanent,Moderate Enforcement,Viral Video
County,Medium-Term,Community-Enforced,Join Advocacy Group
Cross-Border,Permanent,Not Enforced,Op-ed
State,Temporary,Strict Enforcement,Public Art
Region,Temporary,Strict Enforcement,Lawsuit
Neighborhood,Medium-Term,Community-Enforced,Viral Video
Cross-Border,Temporary,Light Enforcement,Public Comment
National,Permanent,Not Enforced,Podcast
City,Long-Term,Moderate Enforcement,Public Poll
Cross-Border,Temporary,Surveillance-Based,Public Comment
International,Trial,Symbolic Only,Op-ed
Global,Trial,Symbolic Only,Social Media Campaign
City,Medium-Term,Moderate Enforcement,Media Outreach
Province,Long-Term,Punitive,Newsletter
National,Temporary,Symbolic Only,Social Media Campaign
City,Permanent,Light Enforcement,Citizen Report
Cross-Border,Short-Term,Surveillance-Based,Citizen Report
State,Medium-Term,Community-Enforced,Documentary
County,Long-Term,Punitive,Protest
Neighborhood,Trial,Surveillance-Based,Public Comment
City,Short-Term,Light Enforcement,Meme Campaign
Cross-Border,Trial,Punitive,Town Hall
International,Permanent,Symbolic Only,Op-ed
State,Medium-Term,Minimal,Meme Campaign
National,Temporary,Not Enforced,Newsletter
Province,Medium-Term,Symbolic Only,Meme Campaign
Neighborhood,Short-Term,Light Enforcement,Direct Email to Representative
City,Short-Term,Not Enforced,Direct Email to Representative
City,Temporary,Not Enforced,Public Comment
International,Short-Term,Not Enforced,Public Poll
Global,Temporary,Not Enforced,Public Art
Global,Medium-Term,Strict Enforcement,Academic Paper
Cross-Border,Short-Term,Light Enforcement,Public Poll
City,Medium-Term,Community-Enforced,Social Media Campaign
Region,Permanent,Punitive,GoFundMe Awareness
State,Trial,Not Enforced,Public Comment
Continental,Long-Term,Light Enforcement,Viral Video
International,Long-Term,Community-Enforced,Viral Video
Neighborhood,Long-Term,Punitive,Citizen Report
International,Short-Term,Not Enforced,Social Media Campaign
Province,Permanent,Light Enforcement,Influencer Collaboration
Province,Trial,Punitive,Newsletter
Continental,Short-Term,Light Enforcement,Podcast
Province,Medium-Term,Symbolic Only,Social Media Campaign
Province,Permanent,Strict Enforcement,Newsletter
City,Temporary,Not Enforced,Public Comment
City,Trial,Not Enforced,Petition
Province,Long-Term,Moderate Enforcement,Viral Video
City,Long-Term,Surveillance-Based,Lawsuit
State,Long-Term,Strict Enforcement,Meme Campaign
Province,Trial,Community-Enforced,Town Hall
Cross-Border,Trial,Surveillance-Based,Protest
City,Trial,Moderate Enforcement,Petition
Cross-Border,Trial,Surveillance-Based,Public Poll
Cross-Border,Short-Term,Minimal,Social Media Campaign
National,Medium-Term,Surveillance-Based,Petition
National,Permanent,Symbolic Only,Op-ed
Province,Long-Term,Strict Enforcement,Newsletter
Region,Medium-Term,Minimal,Social Media Campaign
County,Temporary,Light Enforcement,Academic Paper
International,Medium-Term,Symbolic Only,Social Media Campaign
National,Permanent,Surveillance-Based,Lawsuit
Province,Temporary,Punitive,Town Hall
Cross-Border,Short-Term,Minimal,Podcast
Continental,Permanent,Not Enforced,Viral Video
Continental,Temporary,Symbolic Only,Social Media Campaign
City,Temporary,Not Enforced,Public Comment
Neighborhood,Short-Term,Light Enforcement,Viral Video
Province,Medium-Term,Community-Enforced,Petition
International,Medium-Term,Strict Enforcement,Influencer Collaboration
Region,Long-Term,Not Enforced,Public Comment
Global,Medium-Term,Surveillance-Based,Public Poll
State,Short-Term,Community-Enforced,Town Hall
Region,Trial,Not Enforced,Petition
Global,Medium-Term,Community-Enforced,Public Comment
Global,Temporary,Strict Enforcement,Social Media Campaign
Global,Long-Term,Minimal,Op-ed
County,Short-Term,Surveillance-Based,Influencer Collaboration
Neighborhood,Permanent,Surveillance-Based,Protest
County,Long-Term,Not Enforced,Public Art
City,Trial,Strict Enforcement,Town Hall
Global,Medium-Term,Symbolic Only,Meme Campaign
State,Long-Term,Strict Enforcement,Join Advocacy Group
National,Trial,Strict Enforcement,Documentary
Neighborhood,Medium-Term,Moderate Enforcement,Viral Video
Continental,Medium-Term,Not Enforced,Documentary
International,Permanent,Minimal,Podcast
Neighborhood,Permanent,Moderate Enforcement,Public Comment
County,Medium-Term,Community-Enforced,Lawsuit
State,Trial,Punitive,Op-ed
Province,Trial,Strict Enforcement,GoFundMe Awareness
County,Temporary,Minimal,Podcast
County,Permanent,Community-Enforced,Academic Paper
Cross-Border,Medium-Term,Symbolic Only,Social Media Campaign
County,Short-Term,Not Enforced,Petition
Global,Trial,Punitive,Meme Campaign
International,Short-Term,Surveillance-Based,Lawsuit
City,Short-Term,Moderate Enforcement,Town Hall
State,Medium-Term,Minimal,Podcast
State,Long-Term,Light Enforcement,Protest
Region,Short-Term,Symbolic Only,Op-ed
Continental,Temporary,Not Enforced,Citizen Report
City,Temporary,Not Enforced,Public Comment
State,Trial,Light Enforcement,Public Poll
City,Medium-Term,Punitive,Newsletter
National,Medium-Term,Symbolic Only,Meme Campaign
County,Long-Term,Community-Enforced,Social Media Campaign
Neighborhood,Trial,Not Enforced,Public Comment
State,Temporary,Light Enforcement,Public Art
Province,Medium-Term,Moderate Enforcement,Town Hall
Cross-Border,Medium-Term,Surveillance-Based,Public Poll
Province,Permanent,Minimal,Podcast
Region,Permanent,Not Enforced,Meme Campaign
Region,Long-Term,Minimal,Podcast
Continental,Medium-Term,Moderate Enforcement,GoFundMe Awareness
Global,Temporary,Punitive,Town Hall
National,Temporary,Punitive,Documentary
State,Temporary,Moderate Enforcement,Public Comment
County,Medium-Term,Surveillance-Based,Citizen Report
National,Medium-Term,Minimal,Meme Campaign
Region,Permanent,Community-Enforced,Public Comment
Cross-Border,Trial,Surveillance-Based,Petition
State,Temporary,Punitive,Social Media Campaign
Region,Trial,Symbolic Only,Op-ed
Province,Medium-Term,Light Enforcement,Academic Paper
Province,Temporary,Punitive,Town Hall
Continental,Long-Term,Community-Enforced,Protest
Neighborhood,Permanent,Symbolic Only,Podcast
Neighborhood,Short-Term,Surveillance-Based,Public Poll
National,Long-Term,Punitive,Influencer Collaboration
Neighborhood,Short-Term,Community-Enforced,Media Outreach
Neighborhood,Temporary,Light Enforcement,Town Hall
Province,Temporary,Community-Enforced,Viral Video
International,Permanent,Light Enforcement,Newsletter
County,Permanent,Strict Enforcement,Join Advocacy Group
City,Temporary,Light Enforcement,Petition
Cross-Border,Medium-Term,Community-Enforced,Protest
County,Temporary,Moderate Enforcement,Citizen Report
Cross-Border,Trial,Punitive,Public Art
Province,Temporary,Light Enforcement,Documentary
City,Temporary,Minimal,Petition
Global,Trial,Light Enforcement,Media Outreach
International,Short-Term,Not Enforced,Meme Campaign
County,Temporary,Minimal,Podcast
County,Medium-Term,Surveillance-Based,Lawsuit
Cross-Border,Permanent,Light Enforcement,Documentary
State,Medium-Term,Strict Enforcement,Media Outreach
Region,Permanent,Symbolic Only,Op-ed
Global,Permanent,Light Enforcement,Public Poll
Global,Temporary,Surveillance-Based,Podcast
International,Permanent,Strict Enforcement,Media Outreach
Neighborhood,Temporary,Strict Enforcement,Petition
Neighborhood,Long-Term,Moderate Enforcement,Op-ed
Neighborhood,Short-Term,Strict Enforcement,Influencer Collaboration
Continental,Trial,Moderate Enforcement,Join Advocacy Group
International,Trial,Moderate Enforcement,Viral Video
Province,Permanent,Moderate Enforcement,Public Poll
City,Medium-Term,Symbolic Only,Op-ed
State,Temporary,Light Enforcement,Social Media Campaign
International,Long-Term,Surveillance-Based,Op-ed
International,Medium-Term,Strict Enforcement,Influencer Collaboration
Cross-Border,Temporary,Strict Enforcement,Direct Email to Representative
Neighborhood,Permanent,Moderate Enforcement,GoFundMe Awareness
County,Short-Term,Surveillance-Based,Podcast
Neighborhood,Temporary,Minimal,Petition
National,Long-Term,Symbolic Only,Podcast
Cross-Border,Medium-Term,Punitive,Public Poll
Continental,Permanent,Minimal,Op-ed
Province,Long-Term,Minimal,Meme Campaign
Province,Trial,Light Enforcement,Direct Email to Representative
Neighborhood,Trial,Not Enforced,Petition
Cross-Border,Temporary,Light Enforcement,Petition
Cross-Border,Short-Term,Moderate Enforcement,Influencer Collaboration
Cross-Border,Medium-Term,Light Enforcement,Meme Campaign
International,Trial,Community-Enforced,Protest
Province,Temporary,Light Enforcement,Town Hall
Neighborhood,Short-Term,Moderate Enforcement,Newsletter
Region,Medium-Term,Not Enforced,Podcast
Neighborhood,Trial,Strict Enforcement,Public Comment
County,Permanent,Minimal,Meme Campaign
International,Medium-Term,Light Enforcement,Town Hall
Neighborhood,Long-Term,Surveillance-Based,Op-ed
Neighborhood,Medium-Term,Punitive,Protest
National,Short-Term,Minimal,Podcast
County,Permanent,Symbolic Only,Social Media Campaign
Neighborhood,Trial,Surveillance-Based,Petition
National,Short-Term,Punitive,Influencer Collaboration
International,Long-Term,Surveillance-Based,Public Art
County,Long-Term,Minimal,Meme Campaign
Continental,Long-Term,Minimal,Podcast
Neighborhood,Permanent,Strict Enforcement,Town Hall
National,Trial,Strict Enforcement,Lobby Group
Continental,Temporary,Strict Enforcement,Meme Campaign
Province,Temporary,Moderate Enforcement,Documentary
State,Medium-Term,Strict Enforcement,Documentary
State,Long-Term,Light Enforcement,Citizen Report
Neighborhood,Temporary,Symbolic Only,Petition
International,Short-Term,Light Enforcement,Direct Email to Representative
City,Short-Term,Not Enforced,Viral Video
Global,Short-Term,Minimal,Meme Campaign
International,Short-Term,Community-Enforced,Documentary
Global,Trial,Light Enforcement,Public Comment
City,Long-Term,Not Enforced,Lawsuit
Region,Long-Term,Moderate Enforcement,Media Outreach
National,Permanent,Minimal,Op-ed
Continental,Temporary,Minimal,Social Media Campaign
City,Short-Term,Strict Enforcement,Public Comment
Region,Trial,Community-Enforced,Social Media Campaign
Continental,Permanent,Surveillance-Based,Viral Video
City,Medium-Term,Community-Enforced,Lawsuit
National,Short-Term,Light Enforcement,GoFundMe Awareness
State,Medium-Term,Surveillance-Based,Podcast
Region,Temporary,Strict Enforcement,Direct Email to Representative
State,Trial,Symbolic Only,Podcast
Global,Temporary,Light Enforcement,Podcast
State,Medium-Term,Minimal,Podcast
City,Long-Term,Surveillance-Based,Lawsuit
City,Permanent,Minimal,Meme Campaign
Province,Short-Term,Community-Enforced,Social Media Campaign
City,Temporary,Community-Enforced,Public Comment
Cross-Border,Short-Term,Light Enforcement,Documentary
Province,Permanent,Minimal,Podcast
Cross-Border,Temporary,Minimal,Social Media Campaign
Cross-Border,Trial,Light Enforcement,Public Art
Continental,Long-Term,Community-Enforced,Influencer Collaboration
